Smartphone,Brand,Model,RAM,Storage,Final Price
271,7,246,8.0,256.0,529.98
276,8,27,8.0,128.0,534.0
306,7,254,8.0,128.0,212.0
559,11,104,3.0,32.0,144.99
729,11,129,12.0,128.0,319.0
808,11,136,12.0,256.0,1802.94
1109,15,233,4.0,128.0,159.88
2,15,247,8.0,128.0,400.18
7,15,248,8.0,128.0,549.0
11,1,36,6.0,128.0,224.18
12,1,36,6.0,128.0,169.99
13,1,36,6.0,128.0,224.12
14,1,36,6.0,128.0,169.99
15,1,43,3.0,16.0,130.72
16,1,43,3.0,16.0,129.62
17,1,43,3.0,16.0,130.72
18,1,43,4.0,64.0,157.54
20,1,47,3.0,32.0,146.54
21,1,52,2.0,16.0,133.35
22,1,52,2.0,16.0,131.74
23,1,52,4.0,64.0,223.78
24,1,53,4.0,64.0,177.86
25,1,53,4.0,64.0,177.86
26,1,53,4.0,64.0,177.86
27,1,53,4.0,64.0,149.99
28,1,63,8.0,128.0,319.98
30,1,64,3.0,32.0,203.0
31,1,65,6.0,128.0,224.0
32,1,66,4.0,64.0,252.29
33,1,66,4.0,64.0,220.95
34,1,66,4.0,64.0,389.08
35,1,66,4.0,64.0,382.57
36,1,67,6.0,128.0,490.24
38,2,139,2.0,16.0,84.95
39,2,140,4.0,32.0,185.72
44,2,142,4.0,64.0,170.13
49,2,155,4.0,64.0,202.26
50,2,155,4.0,64.0,180.82
51,2,192,4.0,64.0,149.96
52,2,192,4.0,64.0,159.95
53,2,193,2.0,16.0,109.95
55,2,195,3.0,32.0,155.55
56,2,195,3.0,32.0,154.11
57,2,206,6.0,128.0,179.95
58,2,206,6.0,128.0,179.95
60,2,207,6.0,128.0,159.95
64,2,211,4.0,64.0,175.43
65,2,211,4.0,64.0,159.95
68,2,211,4.0,64.0,149.94
71,3,68,4.0,64.0,235.22
72,3,80,6.0,128.0,317.88
73,3,85,3.0,32.0,272.98
74,3,85,3.0,32.0,244.77
75,3,85,3.0,32.0,160.51
76,3,85,3.0,32.0,160.51
77,3,86,3.0,32.0,528.46
79,3,87,4.0,64.0,235.22
81,3,85,3.0,32.0,179.42
82,3,85,3.0,32.0,179.21
83,3,137,3.0,32.0,169.9
84,3,137,3.0,32.0,169.9
85,3,88,3.0,32.0,188.6
86,3,88,3.0,32.0,188.6
87,3,138,4.0,32.0,197.91
88,3,138,4.0,32.0,197.91
89,3,88,4.0,32.0,216.53
90,3,88,4.0,32.0,216.53
91,3,181,6.0,128.0,539.68
92,4,0,3.0,64.0,272.92
93,4,10,4.0,128.0,297.7
94,4,26,8.0,128.0,566.43
95,4,26,8.0,128.0,399.0
101,4,151,6.0,128.0,300.89
104,4,152,6.0,128.0,303.53
105,4,252,6.0,128.0,483.33
108,4,263,4.0,128.0,252.22
110,4,265,4.0,128.0,235.79
111,4,265,4.0,128.0,216.77
112,4,265,4.0,128.0,173.64
114,4,266,6.0,128.0,299.33
118,5,154,8.0,256.0,689.0
121,5,198,6.0,128.0,523.59
122,5,198,6.0,128.0,661.79
126,5,202,4.0,128.0,358.55
127,5,201,4.0,128.0,316.81
128,5,201,4.0,128.0,356.26
129,5,201,3.0,64.0,187.4
130,5,203,4.0,128.0,466.81
131,5,203,4.0,64.0,431.49
139,5,204,6.0,256.0,552.62
140,5,204,8.0,128.0,299.0
144,5,204,8.0,256.0,999.0
145,5,205,8.0,128.0,652.29
146,5,205,8.0,128.0,781.71
147,5,205,8.0,128.0,634.19
148,5,205,6.0,128.0,508.78
149,5,205,6.0,128.0,425.07
152,5,205,6.0,128.0,386.33
153,5,205,4.0,64.0,314.64
154,5,205,8.0,256.0,897.32
158,5,277,2.0,32.0,158.99
159,5,277,2.0,32.0,158.99
162,5,278,3.0,64.0,273.67
163,6,81,4.0,64.0,262.36
164,6,82,8.0,128.0,479.0
165,6,82,6.0,128.0,429.83
166,6,82,8.0,128.0,339.01
168,6,83,8.0,128.0,410.87
181,6,166,2.0,32.0,144.01
191,6,172,4.0,128.0,219.0
194,6,173,4.0,128.0,206.99
197,6,174,4.0,128.0,132.7
198,6,174,6.0,128.0,312.77
199,6,175,4.0,128.0,288.0
201,6,176,4.0,128.0,271.11
205,6,179,6.0,128.0,320.72
213,6,221,8.0,256.0,897.06
215,7,37,3.0,32.0,186.52
217,7,37,4.0,64.0,207.22
218,7,37,4.0,64.0,169.0
233,7,50,4.0,64.0,158.01
236,7,50,6.0,128.0,275.31
238,7,51,8.0,128.0,279.95
240,7,51,8.0,128.0,262.0
241,7,51,8.0,128.0,262.0
263,7,245,12.0,256.0,799.0
270,7,246,8.0,256.0,753.02
282,8,31,8.0,128.0,650.0
283,8,32,12.0,256.0,910.53
296,7,42,4.0,128.0,294.36
303,7,55,8.0,128.0,379.0
310,7,254,12.0,512.0,670.07
319,7,244,8.0,128.0,599.0
323,7,244,8.0,128.0,399.0
324,7,244,8.0,128.0,353.01
333,9,89,8.0,256.0,449.99
357,9,148,4.0,64.0,189.99
363,15,149,4.0,128.0,249.9
365,15,149,4.0,64.0,229.9
367,15,149,4.0,64.0,249.9
369,15,149,4.0,64.0,210.0
372,9,256,8.0,128.0,465.35
373,9,256,8.0,256.0,429.99
375,9,256,8.0,256.0,429.99
376,9,256,8.0,256.0,369.0
379,9,257,6.0,128.0,261.66
396,9,258,8.0,256.0,376.77
406,10,23,6.0,128.0,180.42
407,10,23,8.0,128.0,209.0
408,10,24,4.0,128.0,166.0
411,10,28,6.0,128.0,295.41
412,10,28,6.0,128.0,209.0
416,10,29,4.0,64.0,254.79
420,10,31,4.0,64.0,262.58
422,10,31,6.0,128.0,285.0
425,10,31,8.0,128.0,327.37
426,10,31,8.0,128.0,301.6
433,10,32,6.0,128.0,402.59
440,10,69,2.0,32.0,115.0
441,10,69,2.0,32.0,111.6
442,10,69,2.0,32.0,135.05
443,10,69,4.0,64.0,194.89
444,10,70,4.0,64.0,168.44
445,10,70,4.0,64.0,168.44
455,10,74,3.0,32.0,152.59
461,10,75,4.0,64.0,172.59
465,10,76,4.0,64.0,182.59
469,10,79,6.0,128.0,201.6
473,10,92,8.0,128.0,441.92
480,10,95,8.0,256.0,541.46
481,10,95,8.0,256.0,549.78
493,10,182,4.0,128.0,209.0
506,10,260,8.0,256.0,772.13
507,11,98,4.0,64.0,174.0
508,11,35,3.0,32.0,230.98
511,11,99,3.0,32.0,130.0
516,11,101,3.0,32.0,196.18
519,11,101,3.0,32.0,187.88
520,11,101,4.0,128.0,254.41
522,11,101,4.0,128.0,209.25
533,11,101,4.0,128.0,243.49
535,11,101,4.0,64.0,190.35
536,11,101,4.0,64.0,231.99
537,11,101,4.0,64.0,232.05
538,11,101,4.0,64.0,183.61
539,11,101,4.0,64.0,230.3
546,11,102,4.0,128.0,209.41
566,11,106,4.0,128.0,252.3
569,11,106,4.0,128.0,300.26
571,11,106,4.0,64.0,259.9
574,11,106,4.0,64.0,235.08
575,11,107,4.0,128.0,389.0
582,11,109,6.0,128.0,390.99
585,11,109,6.0,128.0,359.0
586,11,109,6.0,128.0,343.89
588,11,109,6.0,128.0,356.45
611,11,112,4.0,64.0,384.47
612,11,112,4.0,64.0,370.53
614,11,112,4.0,64.0,439.51
615,11,113,4.0,128.0,425.9
625,11,115,4.0,128.0,515.48
626,11,115,6.0,128.0,453.5
627,11,116,6.0,128.0,439.9
628,11,116,6.0,128.0,454.57
632,11,116,6.0,128.0,443.34
634,11,117,6.0,128.0,431.47
636,11,117,6.0,128.0,421.26
638,11,117,6.0,128.0,417.55
640,11,117,6.0,128.0,405.52
643,11,117,8.0,256.0,572.55
644,11,117,8.0,256.0,559.36
663,11,119,6.0,128.0,425.9
669,11,53,6.0,128.0,640.59
674,11,121,4.0,64.0,166.91
