Smartphone,RAM,Storage,Free,Final Price,PriceCategory
624,8.0,256.0,1,306.0,رخيص
173,8.0,256.0,1,1139.0,غالي
1248,8.0,128.0,1,829.01,متوسط
188,8.0,256.0,1,1289.0,غالي
309,8.0,128.0,1,839.0,متوسط
536,8.0,128.0,1,229.0,رخيص
946,4.0,128.0,1,179.95,رخيص
250,8.0,128.0,1,621.6,متوسط
759,8.0,128.0,1,299.99,رخيص
1252,8.0,256.0,1,959.0,متوسط
943,4.0,128.0,1,179.95,رخيص
48,8.0,128.0,1,859.0,متوسط
720,8.0,256.0,1,629.99,متوسط
1241,8.0,128.0,1,694.9,متوسط
880,8.0,32.0,1,141.6,رخيص
174,8.0,512.0,1,1399.0,غالي
1281,8.0,256.0,1,1409.0,غالي
123,8.0,128.0,1,809.0,متوسط
563,8.0,256.0,1,1199.0,غالي
1733,8.0,128.0,1,288.32,رخيص
611,4.0,128.0,1,189.0,رخيص
1050,8.0,128.0,1,499.0,رخيص
1001,8.0,256.0,1,349.94,رخيص
1377,2.0,64.0,1,121.99,رخيص
1382,4.0,128.0,1,163.59,رخيص
562,8.0,256.0,1,899.01,متوسط
1393,4.0,64.0,1,150.99,رخيص
22,8.0,64.0,1,348.0,رخيص
710,8.0,128.0,1,399.99,رخيص
33,8.0,64.0,1,419.0,رخيص
1748,8.0,128.0,1,229.95,رخيص
768,8.0,256.0,1,399.99,رخيص
1725,4.0,64.0,1,229.99,رخيص
1287,8.0,512.0,1,1589.01,غالي
1690,8.0,128.0,1,199.0,رخيص
1735,8.0,128.0,1,293.46,رخيص
55,8.0,256.0,1,979.0,متوسط
1381,4.0,128.0,1,163.59,رخيص
633,8.0,256.0,1,649.0,متوسط
964,4.0,128.0,1,230.95,رخيص
53,8.0,128.0,1,859.0,متوسط
54,8.0,256.0,1,979.0,متوسط
995,8.0,128.0,1,309.95,رخيص
632,8.0,256.0,1,649.01,متوسط
770,8.0,256.0,1,319.98,رخيص
642,8.0,128.0,1,429.0,رخيص
627,8.0,256.0,1,1299.0,غالي
1383,8.0,256.0,1,200.99,رخيص
1277,8.0,256.0,1,1409.0,غالي
1801,4.0,128.0,1,179.0,رخيص
1271,8.0,512.0,1,1126.89,غالي
1151,8.0,128.0,1,499.0,رخيص
61,8.0,64.0,1,809.0,متوسط
1656,2.0,32.0,1,77.98,رخيص
1643,8.0,64.0,1,101.07,رخيص
184,8.0,128.0,1,1159.0,غالي
902,8.0,32.0,1,129.0,رخيص
1392,2.0,32.0,1,120.99,رخيص
192,8.0,512.0,1,1549.0,غالي
216,8.0,512.0,1,1859.0,غالي
85,8.0,256.0,1,678.0,متوسط
1033,8.0,128.0,1,380.0,رخيص
134,8.0,512.0,1,1159.0,غالي
1230,8.0,256.0,1,1647.19,غالي
1601,8.0,64.0,1,149.89,رخيص
756,8.0,128.0,1,299.99,رخيص
52,8.0,128.0,1,859.0,متوسط
603,4.0,128.0,1,202.59,رخيص
1286,8.0,512.0,1,1333.0,غالي
83,8.0,128.0,1,625.0,متوسط
1279,8.0,256.0,1,1409.0,غالي
1586,8.0,64.0,1,105.04,رخيص
258,8.0,256.0,1,299.0,رخيص
733,4.0,64.0,1,189.99,رخيص
82,8.0,128.0,1,614.99,متوسط
163,8.0,128.0,1,1009.0,غالي
1568,4.0,128.0,1,169.94,رخيص
1483,8.0,256.0,1,849.99,متوسط
